,"39.300,00",Foco Black,Actualizando,Detenido,Evento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estado,Inmobiliaria,Proyecto,Comuna,Dirección,Entrega,Constructora,Categoria,Comisión CI,Comisión BP,Forma de pago,Acepta renta corta,% Bono pie (hasta),% Pie en cuotas,Abono Inicial (hasta),% Descuento al precio de lista (hasta), N° total Cuotas Pie,Cuotas antes de entrega,% pie antes de entrega,Cuotas después de entrega,% Pie después de entrega,Cuotas Cuotón,% Cuotón,Precio desde (con descuento aplicado y bono pie incluido),Cuotas antes de entrega desde,Cuotas después de entrega desde,Cuotas Cuotón desde,Valor reserva,Promociones Broker,¿Precio contiene BP?,"Observaciones, promociones y beneficios CLIENTES",Datos reserva,Estacionamiento,Bodega,¿BP aplica a secundarios?,Arriendo Garantizado
OK,Aj Urbana,Down Town San Martin,Santiago,San Martin 66,1S2028,Constructora AJ Urbana ,A+,"3,00%","1,50%",N/A,SI,"10,00%","7,00%","3,00%","15,00%",32,32,"7,00%",0,"0,00%",0,"0,00%",UF2.635,$226.553,$0,$0,$100.000,N/A,NO,"15% Dcto
10% Bono Pie
3% Upfront
7% 32 Cuotas Forpay

4 años de arriendo garantizado XL

Piso 1 al 6 para Renta Corta

Arriendos garantizados: (renta larga) 
Estudios: $320.000
1D-1B: $390.000
2D-1D: $440.000
2D-2B: $490.000
Estacionamiento: $70.000

Bono amoblado (renta corta):
Studio $1.300.000
1D1B $2.000.000

*El UpFront se puede pagar hasta en 3 cuotas con TC*
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",400 (Asignado a dpto,50-70 (Asignado a dpto),SI,SI
DETENIDO,Aj Urbana,Lia Aguirre,La Florida ,Lía Aguirre 95,Inmediata,Constructora AJ Urbana ,A+,"4,00%","2,00%","
3% a la Promesa y 1% a la Escritura  (Si va pie 0 es 4% a la escritura)",SI,"10,00%","10,00%","0,00%","0,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF3.433,$0,$224.842,$0,$100.000,N/A,NO,"0% de descuento con crédito directo y con arriendo garantizado

2% dcto sin credito directo + arriendo garantizado



**3 años de arriendo asegurado**

*kit de arriendo: Rollers, luminarias led, refrigerador apanelado, chapa electrónica, horno y encimera.

Arriendos garantizados: 
Estudios: $350.000
1D-1B: $450.000
2D-1B: $530.000
2D-2B: $600.000
Estacionamiento: $70.000
-

SOLO RENTA CORTA
(5% en TC Getnet)

4% de descuento sin beneficios 

0% dcto con Bono de amoblado (Renta corta)
Studio $1,300,000
1D1B $2.000.000
2D2B $3.000.000

0% dcto con credito directo aval

Multicrédito: Se puede considerando que máximo 2 unidades por cliente pueden ir con Crédito Directo

Forma de pago pie:
10% en 60 cuotas crédito directo

PROMOCION 🤩
Toda unidad de 2D2B puede ir con 3% de dcto adicional (junto a cualquier promoción)
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,No queda stock,Si,SI
DETENIDO,Aj Urbana,Morandé 776,Santiago,Morandé 776,Inmediata,Constructora AJ Urbana ,A+,"4,00%","2,00%","
3% a la Promesa y 1% a la Escritura  (Si va pie 0 es 4% a la escritura)",SI,"10,00%","10,00%","0,00%","3,00%",60,0,"0,00%",60,"0,00%",0,"0,00%",UF4.351,$0,$0,$0,$100.000,N/A,NO,"Descuento con credito directo y arriendo garantizado 3%
Descuento sin credito directo y arriendo garantizado 5%

**3 años de arriendo asegurado**
*kit de arriendo: Rollers, luminarias led, refrigerador apanelado, chapa electrónica, horno y encimera.

Arriendos garantizados: 
Estudios: $400.000
1D-1B: $500.000
2D-1B: $580.000
2D-2B: $650.000
Estacionamiento: $70.000

-

SOLO RENTA CORTA
(5% en TC Getnet)

7% de descuento sin beneficios 

5% dcto con Bono de amoblado
Studio $1,300,000
1D1B $2.000.000
2D2B $3.000.000

3%dcto con credito directo Aval

Multicrédito: Se puede, considerando que máximo 2 unidades por cliente pueden ir con Crédito Directo

Forma de pago pie:
10% en 60 cuotas crédito directo

PROMOCION 🤩
Toda unidad de 2D2B puede ir con 3% de dcto adicional (junto a cualquier promoción)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,No queda stock,Si,SI
OK,Aj Urbana,Teatinos,Santiago,Teatinos 750,Inmediata,Constructora AJ Urbana ,A+,"4,00%","2,00%","
3% a la Promesa y 1% a la Escritura  (Si va pie 0 es 4% a la escritura)",SI,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.489,$0,$162.997,$0,$100.000,N/A,NO,"4 años de arriendo garantizado XL

Hasta 2do año - Hasta 4to año
Studio $300.000 → $320.000
1D+1B $370.000 → $390.000
2D+1B $420.000 → $440.000
2D+2B $470.000 → $490.000

Piso 1 al 6 renta corta

Kit de arriendo

60 cuotas Fundit

Bono amoblado (renta corta):
Studio $1.300.000
1D1B $2.000.000
2D2B $3.000.000","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",350,50,SI,SI
OK,Aj Urbana,Vista Amunategui,Santiago,Aminategui 745,Inmediata,Constructora AJ Urbana ,A+,"3,00%","1,50%",N/A,SI,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.596,$0,$170.051,$0,$100.000,N/A,NO,"4 años de arriendo garantizado XL

Hasta 2do año - Hasta 4to año
Studio $300.000 → $320.000
1D+1B $370.000 → $390.000
2D+1B $420.000 → $440.000
2D+2B $470.000 → $490.000

60 Cuotas Fundit

Estacionamientos y bodegas asignadas","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",350 (Asignado a dpto,100 (Asignado a dpto),SI,SI
OK,Aj Urbana,Vista Morandé,Santiago,Morandé 808,2S2027,Constructora AJ Urbana ,A+,"3,00%","1,50%",N/A,SI,"10,00%","8,00%","2,00%","15,00%",60,12,"1,60%",48,"6,40%",0,"0,00%",UF3.349,$175.488,$175.488,$0,$100.000,N/A,NO,"*kit de arriendo: Rollers, luminarias led, refrigerador apanelado, chapa electrónica, horno y encimera.

4 años de arriendo garantizado XL

Hasta 2do año - Hasta 4to año
Studio $300.000 → $320.000
1D+1B $370.000 → $390.000
2D+1B $420.000 → $440.000
2D+2B $470.000 → $490.000

Multicrédito: Se puede, considerando para un máximo de 2 unidades. 

Forma de pago pie:
2% Upfront
8% en 60 cuotas
(antes de entrega y post entrega con fundit)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",Sin Stock,Sin Stock,SI,SI
DETENIDO,Aj Urbana,Vista San Martín,Santiago,San Martín 811,Inmediata,Constructora AJ Urbana ,A+,"4,00%","2,00%","60,00",SI,"10,00%","10,00%","0,00%","5,00%",,0,"0,00%",60,"10,00%",0,"0,00%",UF3.334,$0,$218.389,$0,$100.000,N/A,NO,"Credito directo y arriendo asegurado 5%
Sin crédito directo y con Arriendo asegurado 7%
Sin beneficios 9%

**3 años de arriendo asegurado**
*kit de arriendo: Rollers, luminarias led, refrigerador apanelado, chapa electrónica, horno y encimera.

Arriendos garantizados: 
Estudios: $400.000
1D-1B: $500.000
2D-1B: $580.000
2D-2B: $650.000
Estacionamiento: $70.000

-

Solo renta corta
(5% en TC Getnet)

9% de descuento sin beneficios

7% dcto con Bono de amoblado
Studio $1,300,000
1D1B $2.000.000
2D2B $3.000.000

5%dcto credito directo Aval

Multicrédito: Se puede, considerando que máximo 2 unidades por cliente pueden ir con Crédito Directo

Forma de pago pie:
10% en 60 cuotas crédito directo

PROMOCION 🤩
Toda unidad de 2D2B puede ir con 3% de dcto adicional (junto a cualquier promoción)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",Uf desde 350 (asignado a dpto),UF 50 (Asignados a dpto),Si,SI
DETENIDO,Aj Urbana,Vive Santa Isabel,Santiago,Santa Rosa 539,Inmediata,Constructora AJ Urbana ,A+,"4,00%","2,00%","
3% a la Promesa y 1% a la Escritura  (Si va pie 0 es 4% a la escritura)",SI,"10,00%","10,00%","0,00%","3,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.572,$0,$168.466,$0,$100.000,N/A,NO,"Con credito directo y arriendo garantizado 3% dcto
Sin credito directo y con arriendo garantizado 5% dcto

**3 años de arriendo asegurado**
*kit de arriendo: Rollers, luminarias led, refrigerador apanelado, chapa electrónica, horno y encimera.

Arriendos garantizados: 
Estudios: $400.000
1D-1B: $500.000
2D-1B: $580.000
2D-2B: $650.000
Estacionamiento: $70.000

-

Solo renta corta
(5% en TC Getnet)

7% de descuento sin beneficios 

5% dcto con Bono de amoblado
Studio $1,300,000
1D1B $2.000.000
2D2B $3.000.000

3%dcto credito directo Aval

Multicrédito: Se puede considerando que máximo 2 unidades por cliente pueden ir con Crédito Directo


Forma de pago pie:
10% en 60 cuotas crédito directo

PROMOCION 🤩
Toda unidad de 2D2B puede ir con 3% de dcto adicional (junto a cualquier promoción)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,No queda stock,Si,SI
OK,Auténtica,Vive Quinta,Quinta Normal,Mapocho 3742,1S2027,"TASCO
 Boetsch",A+,"4,00%","2,00%",N/A,SI,"7,00%","13,00%","0,00%","5,00%",60,18,"6,00%",42,"7,00%",0,"0,00%",UF2.291,$300.113,$150.057,$0,$100.000,"Gift Card de $500.000.- por promesa (Hasta el 31 de Dicembre 2025)
Si el cliente pone $2.000.000.- de UpFront $500.000 adicional por promesa (Hasta el 31 de Dicembre 2025)",NO,"7% Bono Pie
6% cuotas antes de entrega
7% cuotas después de entrega

(Depto. se enrega con kit de inversionista roller y foco)

Arriendo XL Garantizado 2 años
Studio $310.000
1D1B 379.000
2D1B $410.000
2D2B 457.000
Estacionamiento: $40.000
Bodega $10.000
(Si va sin arriendo garantizado se aplica 1% dcto adicional)
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",[350 - 400] Asignado,UF 80 Asignado,SI,SI
DETENIDO,Besalco,Casas Hacienda conquistadores Parcela L,Puente Alto,"San Carlos Nte. 02128, Puente Alto",Inmediata,Besalco,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","5,00%","10,00%","2,00%",48,0,"0,00%",48,"5,00%",0,"0,00%",UF3.145,$0,$128.748,$0,$500.000,N/A,,"
**Reserva se avanza sólo con aprobación bancaria.**

Formas de pago PIE :

*10% del pie al contado. 

opción 1: Saldo de pie hasta un 5% máx. 48 después de entrega con creditú.

opción 2: Saldo de pie (para completar segun preaprobación) Contado o con TC


Multicrédito: Permitido, debe presentar una aprobación por cada unidad


**Renta mínima exigida $1.800.000.-**
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",N/A,N/A,N/A,
DETENIDO,Besalco,Los Leones,Ñuñoa,"Gral. José Artigas 3082, Ñuñoa",Inmediata,Besalco,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","5,00%","10,00%","8,00%",48,0,"0,00%",48,"5,00%",0,"0,00%",UF4.103,$0,$167.967,$0,$1.000.000,N/A,,"
**Reserva se avanza sólo con aprobacion bancaria.**

Formas de pago PIE :

*10% del pie al contado. 

opción 1: Saldo de pie hasta un 5% máx. 48 después de entrega con creditú.

opción 2: Saldo de pie (para completar según preaprobación) Contado o con TC.


Multicrédito: Permitido, debe presentar una aprobacion por cada unidad


**Renta mínima exigida $2.300.000**","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",400,100,N/A,
DETENIDO,Besalco,Milan,San Miguel,"Milán 1242, San Miguel",Inmediata,Besalco,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","5,00%","10,00%","5,00%",48,0,"0,00%",48,"5,00%",0,"0,00%",UF2.720,$0,$111.350,$0,$1.000.000,N/A,,"
**Reserva se avanza sólo con aprobacion bancaria.**

Formas de pago PIE :

*10% del pie al contado. 

opción 1: Saldo de pie hasta un 5% máx. 48 después de entrega con creditú.

opción 2: Saldo de pie (para completar según preaprobación) Contado o con TC.


Multicrédito: Permitido, debe presentar una aprobación por cada unidad


**Renta mínima exigida $1.600.000**","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [220 - 330],80,N/A,
DETENIDO,Besalco,Pocuro,Providencia,"Av. Pocuro 2145, Providencia",inmediata,Besalco,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","5,00%","10,00%","5,00%",48,0,"0,00%",48,"5,00%",0,"0,00%",UF8.682,$0,$355.419,$0,$500.000,N/A,,"
**Reserva se avanza sólo con aprobacion bancaria.**

Formas de pago PIE :

*10% del pie al contado. 

opción 1: Saldo de pie hasta un 5% máx. 48 después de entrega con creditú.

opción 2: Saldo de pie (para completar segun preaprobación) Contado o con TC.


Multicrédito: Permitido, debe presentar una aprobación por cada unidad


**Renta mínima exigida $1.600.000**","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",500,80,N/A,
ACTUALIZANDO,Besalco,Reserva Urbana 1 ,La Cisterna,"Jorge Caceres 220, La Cisterna",2S2026,Besalco,B,"4,00%","2,00%",N/A,NO,"0,00%","20,00%","0,00%","10,00%",44,20,"15,00%",24,"5,00%",0,"0,00%",UF2.230,$657.293,$182.581,$0,$100.000,N/A,NO,"Descuento del 10% a todas las tipologías

Forma de Pago:
15% en cuotas amtes de entrega
5% en cuotas despues de entrega (24 cuotas con toku o creditu)


15% Descto sobre pago contado hasta 20% pie


Multicrédito: Permitido, debe presentar una preaprobación por cada unidad

**Renta mínima exigida $1.300.000.-**","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF[380 -480],UF 80,N/A,
ACTUALIZANDO,Besalco,Reserva Urbana 2,La Cisterna,"Jorge Caceres 220, la Cisterna",2S2028,Besalco,B,"4,00%","2,00%",N/A,NO,"0,00%","20,00%","0,00%","8,00%",64,40,"15,00%",24,"5,00%",0,"0,00%",UF2.398,$353.405,$196.336,$0,$100.000,N/A,NO,"Descuento del 8% a todas las tipologías

Formas de pago PIE :

Forma de Pago:
15% en cuotas amtes de entrega
5% en cuotas despues de entrega (24 cuotas con toku o creditu)

15% Descto sobre pago contado hasta 20% pie

Multicrédito: Permitido, debe presentar una preaprobación por cada unidad


**Renta mínima exigida $1.400.000.-**","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF[400 y 700 Tandem],UF 100,N/A,
DETENIDO,Besalco,Valle Grande / Lampa,Lampa,"La Montaña Norte 4770, Lampa",2S2026,Besalco,B,"4,00%","2,00%",N/A,NO,"0,00%","15,00%","0,00%","4,00%",56,8,"10,00%",48,"5,00%",0,"0,00%",UF4.203,$2.064.724,$172.060,$0,$100.000,N/A,,"**Reserva se avanza sólo con aprobacion bancaria.**

Formas de pago PIE :
*10% 
Primera etapa (casa 1 a 75) en 7 cuotas
Segunda etapa (casa 76 a 162) 14 cuotas

opción 1: Saldo de pie hasta un 5% máx. 48 después de entrega con creditú.

opción 2: Saldo de pie (para completar según preaprobación) contado o con TC.

Multicrédito: Permitido, debe presentar una aprobacion por cada unidad.


**Renta mínima exigida $2.300.000.-**","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",N/A,N/A,N/A,
